policy_id,policyholder_id,product_type,state,effective_date,expiration_date,written_premium,status
POL-0001,PH-1001,auto,TX,2024-01-01,2025-01-01,1200.00,active
POL-0002,PH-1002,homeowners,TX,2024-01-01,2025-01-01,2400.00,active
POL-0003,PH-1003,auto,CA,2024-02-01,2025-02-01,1850.00,active
POL-0004,PH-1004,homeowners,CA,2024-02-01,2025-02-01,3100.00,active
POL-0005,PH-1005,auto,FL,2024-01-01,2025-01-01,2200.00,active
POL-0006,PH-1006,homeowners,FL,2024-03-01,2025-03-01,4500.00,active
POL-0007,PH-1007,auto,TX,2024-01-01,2025-01-01,980.00,active
POL-0008,PH-1008,auto,NY,2024-02-01,2025-02-01,2100.00,active
POL-0009,PH-1009,homeowners,NY,2024-02-01,2025-02-01,3800.00,active
POL-0010,PH-1010,auto,CA,2024-03-01,2025-03-01,1650.00,active
POL-0011,PH-1011,homeowners,TX,2024-01-01,2025-01-01,2750.00,active
POL-0012,PH-1012,auto,FL,2024-02-01,2025-02-01,1900.00,active
POL-0013,PH-1013,auto,CA,2024-03-01,2025-03-01,1420.00,cancelled
POL-0014,PH-1014,homeowners,TX,2024-01-01,2025-01-01,2900.00,active
POL-0015,PH-1015,auto,NY,2024-02-01,2025-02-01,2350.00,active
POL-0016,PH-1016,homeowners,FL,2024-01-01,2025-01-01,5100.00,active
POL-0017,PH-1017,auto,TX,2024-03-01,2025-03-01,1100.00,active
POL-0018,PH-1018,auto,CA,2024-01-01,2025-01-01,1780.00,cancelled
POL-0019,PH-1019,homeowners,NY,2024-03-01,2025-03-01,4200.00,active
POL-0020,PH-1020,auto,FL,2024-01-01,2025-01-01,2050.00,active
POL-0021,PH-1021,auto,TX,2024-04-01,2025-04-01,1300.00,active
POL-0022,PH-1022,homeowners,CA,2024-04-01,2025-04-01,3400.00,active
POL-0023,PH-1023,auto,FL,2024-04-01,2025-04-01,1950.00,active
POL-0024,PH-1024,auto,NY,2024-04-01,2025-04-01,2250.00,active
POL-0025,PH-1025,homeowners,TX,2024-04-01,2025-04-01,2600.00,active
