premium_id,policy_id,earning_month,earned_premium
PREM-0001,POL-0001,2024-01,100.00
PREM-0002,POL-0001,2024-02,100.00
PREM-0003,POL-0001,2024-03,100.00
PREM-0004,POL-0001,2024-04,100.00
PREM-0005,POL-0001,2024-05,100.00
PREM-0006,POL-0001,2024-06,100.00
PREM-0007,POL-0002,2024-01,200.00
PREM-0008,POL-0002,2024-02,200.00
PREM-0009,POL-0002,2024-03,200.00
PREM-0010,POL-0002,2024-04,200.00
PREM-0011,POL-0002,2024-05,200.00
PREM-0012,POL-0002,2024-06,200.00
PREM-0013,POL-0003,2024-02,154.17
PREM-0014,POL-0003,2024-03,154.17
PREM-0015,POL-0003,2024-04,154.17
PREM-0016,POL-0003,2024-05,154.17
PREM-0017,POL-0003,2024-06,154.17
PREM-0018,POL-0004,2024-02,258.33
PREM-0019,POL-0004,2024-03,258.33
PREM-0020,POL-0004,2024-04,258.33
PREM-0021,POL-0004,2024-05,258.33
PREM-0022,POL-0004,2024-06,258.33
PREM-0023,POL-0005,2024-01,183.33
PREM-0024,POL-0005,2024-02,183.33
PREM-0025,POL-0005,2024-03,183.33
PREM-0026,POL-0005,2024-04,183.33
PREM-0027,POL-0005,2024-05,183.33
PREM-0028,POL-0005,2024-06,183.33
PREM-0029,POL-0006,2024-03,375.00
PREM-0030,POL-0006,2024-04,375.00
PREM-0031,POL-0006,2024-05,375.00
PREM-0032,POL-0006,2024-06,375.00
PREM-0033,POL-0007,2024-01,81.67
PREM-0034,POL-0007,2024-02,81.67
PREM-0035,POL-0007,2024-03,81.67
PREM-0036,POL-0007,2024-04,81.67
PREM-0037,POL-0007,2024-05,81.67
PREM-0038,POL-0007,2024-06,81.67
PREM-0039,POL-0008,2024-02,175.00
PREM-0040,POL-0008,2024-03,175.00
PREM-0041,POL-0008,2024-04,175.00
PREM-0042,POL-0008,2024-05,175.00
PREM-0043,POL-0008,2024-06,175.00
PREM-0044,POL-0009,2024-02,316.67
PREM-0045,POL-0009,2024-03,316.67
PREM-0046,POL-0009,2024-04,316.67
PREM-0047,POL-0009,2024-05,316.67
PREM-0048,POL-0009,2024-06,316.67
PREM-0049,POL-0010,2024-03,137.50
PREM-0050,POL-0010,2024-04,137.50
PREM-0051,POL-0010,2024-05,137.50
PREM-0052,POL-0010,2024-06,137.50
PREM-0053,POL-0011,2024-01,229.17
PREM-0054,POL-0011,2024-02,229.17
PREM-0055,POL-0011,2024-03,229.17
PREM-0056,POL-0011,2024-04,229.17
PREM-0057,POL-0011,2024-05,229.17
PREM-0058,POL-0011,2024-06,229.17
PREM-0059,POL-0012,2024-02,158.33
PREM-0060,POL-0012,2024-03,158.33
PREM-0061,POL-0012,2024-04,158.33
PREM-0062,POL-0012,2024-05,158.33
PREM-0063,POL-0012,2024-06,158.33
PREM-0064,POL-0014,2024-01,241.67
PREM-0065,POL-0014,2024-02,241.67
PREM-0066,POL-0014,2024-03,241.67
PREM-0067,POL-0014,2024-04,241.67
PREM-0068,POL-0014,2024-05,241.67
PREM-0069,POL-0014,2024-06,241.67
PREM-0070,POL-0015,2024-02,195.83
PREM-0071,POL-0015,2024-03,195.83
PREM-0072,POL-0015,2024-04,195.83
PREM-0073,POL-0015,2024-05,195.83
PREM-0074,POL-0015,2024-06,195.83
PREM-0075,POL-0016,2024-01,425.00
PREM-0076,POL-0016,2024-02,425.00
PREM-0077,POL-0016,2024-03,425.00
PREM-0078,POL-0016,2024-04,425.00
PREM-0079,POL-0016,2024-05,425.00
PREM-0080,POL-0016,2024-06,425.00
PREM-0081,POL-0017,2024-03,91.67
PREM-0082,POL-0017,2024-04,91.67
PREM-0083,POL-0017,2024-05,91.67
PREM-0084,POL-0017,2024-06,91.67
PREM-0085,POL-0019,2024-03,350.00
PREM-0086,POL-0019,2024-04,350.00
PREM-0087,POL-0019,2024-05,350.00
PREM-0088,POL-0019,2024-06,350.00
PREM-0089,POL-0020,2024-01,170.83
PREM-0090,POL-0020,2024-02,170.83
PREM-0091,POL-0020,2024-03,170.83
PREM-0092,POL-0020,2024-04,170.83
PREM-0093,POL-0020,2024-05,170.83
PREM-0094,POL-0020,2024-06,170.83
PREM-0095,POL-0021,2024-04,108.33
PREM-0096,POL-0021,2024-05,108.33
PREM-0097,POL-0021,2024-06,108.33
PREM-0098,POL-0022,2024-04,283.33
PREM-0099,POL-0022,2024-05,283.33
PREM-0100,POL-0022,2024-06,283.33
PREM-0101,POL-0023,2024-04,162.50
PREM-0102,POL-0023,2024-05,162.50
PREM-0103,POL-0023,2024-06,162.50
PREM-0104,POL-0024,2024-04,187.50
PREM-0105,POL-0024,2024-05,187.50
PREM-0106,POL-0024,2024-06,187.50
PREM-0107,POL-0025,2024-04,216.67
PREM-0108,POL-0025,2024-05,216.67
PREM-0109,POL-0025,2024-06,216.67
